chr	start	end	ID	gene_name
1	896515	912788	237	ENSG00000230699,ENSG00000272438
1	912789	915238	238	ENSG00000241180
1	915239	938701	239	SAMD11,LINC02593
1	954044	968260	242	PLEKHN1,KLHL17,NOC2L
1	968261	992014	243	PLEKHN1,PERM1
1	992015	1001574	244	ISG15,HES4,ENSG00000272512
1	1008297	1021819	247	ISG15,AGRN,ENSG00000224969
1	1069747	1098888	253	C1orf159,RNF223,ENSG00000285812
1	1113672	1127279	258	C1orf159
1	1161359	1171735	265	MIR429,MIR200A,MIR200B,ENSG00000272141
1	1171736	1174352	266	TTLL10
1	1174353	1187262	267	TTLL10,TTLL10-AS1
1	1191146	1215589	269	TNFRSF4,TNFRSF18
1	1225418	1271493	272	SDF4,UBE2J2,B3GALT6,C1QTNF12,ENSG00000260179
1	1271494	1277058	273	UBE2J2,LINC01786
1	1277059	1285174	274	SCNN1D
1	1304046	1342719	276	DVL1,INTS11,ACAP3,TAS1R3,PUSL1,CPTP,ENSG00000240731,MIR6727,MIR6808
1	1348457	1370138	278	DVL1,MXRA8
1	1374589	1377935	282	AURKAIP1
1	1377936	1415063	283	CCNL2,NDUFB4P8,MRPL20-AS1,MRPL20,RN7SL657P,MRPL20-DT
1	1415521	1428933	285	TMEM88B,ENSG00000225905,ANKRD65
1	1428934	1437793	286	VWA1,LINC01770
1	1437794	1450027	287	ATAD3C
1	1463274	1480430	293	ATAD3B
1	1529894	1546943	302	SSU72,TMEM240
1	1570027	1581258	310	SSU72,ENSG00000215014
1	1598507	1610602	316	FNDC10,ENSG00000286989
1	1610603	1617349	317	MIB2,ENSG00000272106
1	1627098	1645298	320	MMP23B,MIB2
1	1717272	1741553	331	CDK11A,SLC35E2A,ENSG00000227775,ENSG00000268575
1	1744309	1749456	333	SLC35E2A
1	1777911	1798351	340	NADK,GNB1
1	1889514	1899024	358	GNB1,ENSG00000231050
1	1911196	1920990	362	CALML6,TMEM52
1	1996324	2024515	376	CFAP74,GABRD,ENSG00000233542
1	2049285	2060052	381	PRKCZ,ENSG00000226969
1	2173560	2191121	403	PRKCZ-AS1
1	2212209	2215850	410	FAAP20,ENSG00000234396
1	2224327	2234756	415	SKI
1	2388133	2392938	438	MORN1,RER1
1	2404286	2420326	445	PEX10
1	2423481	2426365	448	PLCH2
1	2455666	2485846	450	PLCH2
1	2488651	2494930	452	ENSG00000224387,ENSG00000229393
1	2519537	2526993	457	PANK4
1	2526994	2564457	458	TNFRSF14,HES5,TNFRSF14-AS1,ENSG00000272449
1	2583426	2594813	461	MMEL1,PRXL2B
1	2624868	2633857	468	MMEL1,MMEL1-AS1
1	2780380	2794089	473	TTC34
1	3011073	3028230	507	ACTRT2
1	3068666	3072213	515	PRDM16
1	3122174	3143890	523	ENSG00000226286,MIR4251
1	3453917	3466809	568	ARHGEF16
1	3554084	3564509	586	MIR551A
1	3606371	3614619	590	MEGF6
1	3614696	3628414	592	TPRG1L,ENSG00000238260
1	3649212	3660775	600	TP73,WRAP73
1	3665302	3674215	602	TP73-AS3
1	3674216	3721498	603	TP73,TP73-AS2
1	3749279	3754559	608	CCDC27
1	3771983	3773759	612	SMIM1
1	3789379	3804275	617	LRRC47
1	3851877	3881384	631	CEP104,DFFB
1	3898972	3903119	635	C1orf174,LINC01134
1	4646783	4657606	804	AJAP1
1	5801448	5817713	1122	NA
1	5989610	5993463	1162	KCNAB2,NPHP4
1	6160757	6184976	1191	CHD5
1	6198475	6214267	1198	RPL22,RNF207,RNF207-AS1
1	6226200	6237106	1202	ICMT,LINC00337
1	6237107	6248813	1203	HES3,LINC00337
1	6249074	6263153	1205	GPR153
1	6380800	6406866	1225	ACOT7,ENSG00000271746
1	6457163	6471221	1234	PLEKHG5,ESPN,TNFRSF25
1	6493574	6521641	1238	PLEKHG5
1	6537397	6554801	1244	NOL9,ENSG00000229519,RNU6-731P
1	6554802	6574224	1245	TAS1R1
1	6575236	6587530	1247	ZBTB48
1	6609450	6615832	1252	PHF13,KLHL21
1	6623524	6628343	1255	THAP3
1	6686359	6703327	1274	DNAJC11
1	6748166	6757236	1288	NA
1	6780829	6785205	1297	CAMTA1-DT
1	6785206	6800973	1298	CAMTA1
1	7011401	7018821	1350	ENSG00000237365
1	7219136	7221733	1391	RNU1-8P
1	7375822	7394680	1425	CAMTA1-AS2
1	7440873	7443197	1439	CAMTA1-AS1
1	7768502	7773212	1502	VAMP3
1	7780310	7788406	1506	PER3
1	7819682	7828352	1511	ENSG00000236266
1	7849807	7858074	1516	UTS2
1	7938668	7944096	1541	TNFRSF9,ENSG00000270330
1	7948056	7976031	1544	PARK7
1	8021038	8034205	1557	ERRFI1,ENSG00000238290
1	8205083	8208796	1597	RNU1-7P,LINC01714
1	8291863	8294097	1616	RNU6-991P
1	8315819	8321184	1623	SLC45A1
1	8424282	8427354	1653	RERE,RERE-AS1
1	8511595	8513148	1679	ENSG00000221083,ENSG00000270282
1	8813935	8820173	1782	RERE
1	8877549	8880652	1795	ENO1,ENO1-AS1
1	8883262	8885211	1797	RNU6-304P
1	8943418	8952603	1805	CA6
1	9021966	9031657	1816	SLC2A7
1	9075057	9085510	1822	ENSG00000252404
1	9088142	9090911	1825	SLC2A5
1	9126509	9134693	1832	GPR157
1	9145485	9153994	1835	MIR34A
1	9234209	9239397	1850	H6PD
1	9276919	9281874	1860	NA
1	9290615	9297165	1863	SPSB1
1	9538417	9553560	1906	SLC25A33
1	9588031	9589734	1925	TMEM201
1	9822682	9827397	1964	CLSTN1
1	9847993	9858312	1967	ENSG00000223989
1	9893610	9904140	1975	ENSG00000285701
1	9906930	9916712	1978	CTNNBIP1
1	9930384	9961202	1983	LZIC,NMNAT1,RN7SKP269,ENSG00000228150,TMEM274P
1	10025454	10034144	1999	UBE4B
1	10160976	10166404	2034	RNU6-828P
1	10192130	10213010	2042	KIF1B
1	10295530	10302317	2072	RNU6-37P
1	10385312	10400963	2095	PGD,ENSG00000284642,ENSG00000284735
1	10429417	10433971	2104	CENPS,CENPS-CORT,ENSG00000271989
1	10433972	10449962	2105	CENPS
1	10457726	10459528	2110	ENSG00000203469
1	10471160	10475570	2113	PEX14,DFFA
1	10671631	10684323	2159	NA
1	10690980	10707459	2161	CASZ1
1	10721167	10727517	2166	NA
1	10784330	10799862	2177	CASZ1
1	10852303	10869255	2185	NA
1	10897652	10906316	2187	NA
1	10979386	10986777	2202	C1orf127
1	11005090	11025668	2204	TARDBP
1	11025669	11053063	2205	MASP2,TARDBP
1	11053064	11062918	2206	SRM
1	11098689	11103394	2217	EXOSC10,EXOSC10-AS1
1	11132236	11144021	2225	MTOR,MTOR-AS1
1	11150118	11152433	2229	RNU6-537P
1	11168647	11186467	2236	NA
1	11188254	11189408	2238	ANGPTL7
1	11225257	11227911	2248	RNU6-291P
1	11261669	11262642	2255	MTOR
1	11469567	11479249	2301	DISP3
1	11645272	11657290	2338	FBXO2,FBXO44
1	11662697	11667718	2341	FBXO6
1	11690879	11703503	2345	MAD2L2,DRAXIN
1	11733432	11737240	2352	AGTRAP
1	11760427	11766074	2356	C1orf167
1	11777088	11791184	2362	C1orf167-AS1,C1orf167
1	11804847	11812432	2366	CLCN6,MTHFR
1	11819011	11824085	2370	NA
1	11841299	11853738	2372	NPPA,ENSG00000275915,ENSG00000276470,ENSG00000278852
1	11857467	11860750	2375	NPPB
